ano,mes,indice
2019,3,1334.3036
2019,2,1324.3708
2019,1,1318.7004
2018,12,1314.494
2018,11,1312.5252
2018,10,1315.2873
2018,9,1309.3951
2018,8,1303.14
2018,7,1304.3139
2018,6,1300.0238
2018,5,1283.8473
2018,4,1278.7324
2018,3,1275.9254
2018,2,1274.7781
2018,1,1270.7118
2017,12,1267.0374
2017,11,1261.4869
2017,10,1257.9646
2017,9,1252.7032
2017,8,1250.7021
2017,7,1248.3303
2017,6,1245.3415
2017,5,1248.2124
2017,4,1244.3549
2017,3,1242.6152
2017,2,1239.5164
2017,1,1235.4394
2016,12,1230.7625
2016,11,1227.0813
2016,10,1224.8765
2016,9,1221.7001
2016,8,1220.7235
2016,7,1215.3758
2016,6,1209.0886
2016,5,1204.8715
2016,4,1195.5462
2016,3,1188.2976
2016,2,1183.2098
2016,1,1172.6559
2015,12,1157.95
2015,11,1146.9394
2015,10,1135.4711
2015,9,1126.236
2015,8,1120.187
2015,7,1117.728
2015,6,1110.8408
2015,5,1102.1339
2015,4,1094.038
2015,3,1086.3251
2015,2,1072.1724
2015,1,1059.2496
2014,12,1046.2758
2014,11,1038.178
2014,10,1032.9101
2014,9,1028.5901
2014,8,1022.7603
2014,7,1020.2098
2014,6,1020.1078
2014,5,1016.0436
2014,4,1011.3912
2014,3,1004.66
2014,2,995.5014
2014,1,988.6795
2013,12,983.2715
2013,11,974.3079
2013,10,969.0749
2013,9,963.5824
2013,8,960.2217
2013,7,957.9227
2013,6,957.6354
2013,5,955.152
2013,4,951.6309
2013,3,946.4256
2013,2,941.9982
2013,1,936.3799
2012,12,928.3957
2012,11,921.1189
2012,10,915.6251
2012,9,910.2546
2012,8,905.0956
2012,7,901.3998
2012,6,897.5404
2012,5,896.823
2012,4,893.606
2012,3,887.9232
2012,2,886.0625
2012,1,882.0931
2011,12,877.1809
2011,11,872.8168
2011,10,868.3017
2011,9,864.5839
2011,8,860.0258
2011,7,856.8554
2011,6,855.4867
2011,5,854.2054
2011,4,850.2094
2011,3,843.7128
2011,2,837.0997
2011,1,830.456
2010,12,823.62
2010,11,818.4637
2010,10,811.7264
2010,9,805.6837
2010,8,802.0744
2010,7,801.7537
2010,6,801.6735
2010,5,801.6735
2010,4,798.2411
2010,3,793.7169
2010,2,789.6109
2010,1,783.4996
2009,12,777.6671
2009,11,774.8004
2009,10,771.6367
2009,9,769.482
2009,8,767.6397
2009,7,766.49
2009,6,764.6549
2009,5,761.912
2009,4,758.3477
2009,3,754.7251
2009,2,753.2186
2009,1,749.0986
2008,12,745.5201
2008,11,743.4385
2008,10,740.7717
2008,9,737.4531
2008,8,735.5407
2008,7,733.487
2008,6,729.6197
2008,5,724.2602
2008,4,718.5834
2008,3,714.6528
2008,2,711.2389
2008,1,707.7709
2007,12,703.9695
2007,11,698.7984
2007,10,696.1531
2007,9,694.0709
2007,8,692.8238
2007,7,689.5828
2007,6,687.9316
2007,5,686.0108
2007,4,684.0953
2007,3,682.3894
2007,2,679.8739
2007,1,676.8956
2006,12,673.9303
2006,11,670.7109
2006,10,668.6381
2006,9,666.4389
2006,8,665.0423
2006,7,664.7099
2006,6,663.4494
2006,5,664.8455
2006,4,664.1814
2006,3,662.7895
2006,2,659.9517
2006,1,657.2569
2005,12,653.4019
2005,11,651.0581
2005,10,647.4968
2005,9,642.6768
2005,8,640.4352
2005,7,639.3483
2005,6,637.754
2005,5,637.8815
2005,4,634.7712
2005,3,629.2963
2005,2,625.4808
2005,1,621.8122
2004,12,618.2264
2004,11,612.955
2004,10,608.7546
2004,9,606.0878
2004,8,604.0943
2004,7,599.9546
2004,6,594.5443
2004,5,590.3528
2004,4,587.3573
2004,3,585.192
2004,2,582.4545
2004,1,578.9231
